id,name,total.over.15,male.over.15,male.college,male.grad,male.other,female.over.15,female.college,female.grad,female.other
20700,"East Stroudsburg, PA Metro Area",139349,68382,4511,938,62933,70967,5383,1205,64379
44300,"State College, PA Metro Area",139070,73320,21053,957,51310,65750,16589,856,48305
47940,"Waterloo-Cedar Falls, IA Metro Area",138902,67308,6617,1271,59420,71594,8689,1877,61028
34740,"Muskegon, MI Metro Area",138401,68313,2451,1119,64743,70088,3579,1444,65065
20100,"Dover, DE Metro Area",137703,65524,4501,1487,59536,72179,6514,2245,63420
20940,"El Centro, CA Metro Area",136009,69577,5267,414,63896,66432,6316,684,59432
20740,"Eau Claire, WI Metro Area",135691,67648,7241,399,60008,68043,8148,590,59305
10180,"Abilene, TX Metro Area",135390,68500,2766,3470,62264,66890,3186,4683,59021
14540,"Bowling Green, KY Metro Area",135288,65992,7238,618,58136,69296,9070,335,59891
26980,"Iowa City, IA Metro Area",135224,66740,14601,848,51291,68484,15025,981,52478
13740,"Billings, MT Metro Area",134013,65431,2552,702,62177,68582,3573,796,64213
27980,"Kahului-Wailuku-Lahaina, HI Metro Area",132034,65429,2447,446,62536,66605,3587,722,62296
43580,"Sioux City, IA-NE-SD Metro Area",131925,64679,2750,1242,60687,67246,3165,1727,62354
49700,"Yuba City, CA Metro Area",130908,65034,4033,1097,59904,65874,4815,1197,59862
39380,"Pueblo, CO Metro Area",130872,63870,3998,428,59444,67002,5832,669,60501
27100,"Jackson, MI Metro Area",130501,66680,2920,932,62828,63821,3837,2094,57890
12620,"Bangor, ME Metro Area",129521,63421,6222,1327,55872,66100,7327,1142,57631
27500,"Janesville-Beloit, WI Metro Area",129257,62896,2552,1030,59314,66361,3300,1744,61317
15500,"Burlington, NC Metro Area",126874,59145,2727,1872,54546,67729,3573,3347,60809
35660,"Niles-Benton Harbor, MI Metro Area",126396,61144,2356,2318,56470,65252,3240,2057,59955
12220,"Auburn-Opelika, AL Metro Area",126114,61828,12769,1064,47995,64286,13184,961,50141
42680,"Sebastian-Vero Beach, FL Metro Area",124686,59384,2041,536,56807,65302,2696,624,61982
47220,"Vineland-Bridgeton, NJ Metro Area",124677,64134,1983,628,61523,60543,3086,777,56680
36860,"Ottawa-Peru, IL Micro Area",124312,62055,2575,476,59004,62257,3127,739,58391
19460,"Decatur, AL Metro Area",124027,60272,2548,136,57588,63755,3170,485,60100
16540,"Chambersburg-Waynesboro, PA Metro Area",123965,60318,1690,491,58137,63647,3129,848,59670
18180,"Concord, NH Micro Area",123881,60619,2761,1937,55921,63262,2728,3267,57267
42140,"Santa Fe, NM Metro Area",123615,59671,3221,722,55728,63944,4702,1096,58146
